Métrica,Test_Score,CV_Mean,CV_Std
Accuracy,0.9649122807017544,0.9758241758241759,0.012815278889769889
Precision,0.975,0.9880570409982175,0.01462979289032669
Recall,0.9285714285714286,0.9470588235294117,0.03429971702850177
F1-Score,0.9512195121951219,0.9667008847166881,0.01781096520817366
AUC-ROC,0.9953703703703705,,
