Estrategia,Accuracy,Precision,Recall,FNR (%),Falsos Negativos,Falsos Positivos
Original (threshold=0.5),97.36842105263158,97.5609756097561,95.23809523809523,4.761904761904762,2,1
Ajuste de Umbral (threshold=0.300),97.36842105263158,95.34883720930233,97.61904761904762,2.380952380952381,1,2
SMOTE + Balanced,97.36842105263158,97.5609756097561,95.23809523809523,4.761904761904762,2,1
SMOTE + Custom Weight (1:3),98.24561403508771,100.0,95.23809523809523,4.761904761904762,2,0
Combinación Óptima (threshold=0.300),98.24561403508771,97.61904761904762,97.61904761904762,2.380952380952381,1,1
