TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score,AUC-ROC,FNR,Specificity,Estrategia
72,0,4,38,96.49122807017544,100.0,90.47619047619048,95.0,99.53703703703704,9.523809523809524,100.0,"Original
(threshold=0.5)"
70,2,1,41,97.36842105263158,95.34883720930233,97.61904761904762,96.47058823529412,99.53703703703704,2.380952380952381,97.22222222222221,"Ajuste Umbral
(threshold=0.30)"
72,0,3,39,97.36842105263158,100.0,92.85714285714286,96.29629629629629,99.55357142857143,7.142857142857142,100.0,"SMOTE + Balanced
(threshold=0.5)"
72,0,2,40,98.24561403508771,100.0,95.23809523809523,97.5609756097561,99.60317460317461,4.761904761904762,100.0,"SMOTE + Custom
(weight 1:3)"
71,1,1,41,98.24561403508771,97.61904761904762,97.61904761904762,97.61904761904762,99.60317460317461,2.380952380952381,98.61111111111111,"Combinación Óptima
(threshold=0.30)"
