original_mean,original_std,original_min,original_max,clahe_mean,clahe_std,clahe_min,clahe_max,contrast_improvement,brightness_change,image_path
139.24384880065918,69.28598561927825,0,255,139.40238761901855,69.32802528979344,1,255,0.042039670515194416,0.158538818359375,411720e11033999fe479d1c1a66819e9.jpg
155.01617813110352,42.25329556172703,0,255,150.93845081329346,49.96093323066018,0,255,7.7076376689331525,-4.077727317810059,1aebe196c344ddae48ec99b142bcf4c2.jpg
129.4621706008911,67.34094754591922,0,251,130.39551639556885,69.76751532053427,0,254,2.4265677746150516,0.9333457946777344,457e53f750c2f152033022e7918cc296.jpg
124.4543571472168,55.09602031505107,0,255,131.41174602508545,61.62270255682105,0,255,6.526682241769976,6.957388877868652,134cd4124bd1d75563cb47732742e331.jpg
140.618914604187,64.81772411057341,0,255,135.75651264190674,68.82143094698658,2,255,4.003706836413173,-4.862401962280273,2ab378a7f2524b5b5a7ea85b86f0b4ee.jpg
139.46142292022705,59.6298218024502,0,255,136.22525787353516,63.94627852665929,0,255,4.31645672420909,-3.2361650466918945,61eda4cf19454682248154196d27cf07.jpg
146.78580379486084,57.2800732740386,0,238,141.4037265777588,61.71116403202666,0,253,4.431090757988059,-5.382077217102051,3a813bd68c097cb009e6ef9d5f884489.jpg
145.9475679397583,80.36194486972343,0,255,139.27239418029785,79.02317939080218,0,255,-1.3387654789212462,-6.675173759460449,4e39db9ee3a3fa04e219e4649581708a.jpg
161.96405124664307,72.6328967813267,0,255,152.85100746154785,72.44162421146927,1,255,-0.19127256985743202,-9.113043785095215,fd709b976ae14089b17bea48208573d8.jpg
125.23123359680176,69.64585844622562,0,255,124.15764999389648,75.15753394281913,2,255,5.5116754965935115,-1.0735836029052734,713f94c56bcf0a3622522744fb0d24d7.jpg
142.0705690383911,57.234310624810426,0,255,140.04659366607666,64.19590716531538,1,255,6.961596540504949,-2.023975372314453,20d9e4989fab7ecae4243324d81ad309.jpg
110.2556324005127,64.04790557408191,0,246,117.74604797363281,66.81432196323264,0,252,2.7664163891507343,7.490415573120117,38e4156d00946746696b72f9bfa791de.jpg
120.53501510620117,65.58102158561728,0,255,122.03372478485107,71.07226195098464,2,255,5.491240365367361,1.4987096786499023,cde07682ce7758568b5a3701eee9f46a.jpg
149.2980089187622,67.47877897669375,0,255,140.61846542358398,68.73325300833704,0,255,1.2544740316432978,-8.679543495178223,d0043062cebce85f2487407bc033d405.jpg
139.8958969116211,77.5357557206447,0,255,136.3615779876709,76.12411634185129,0,255,-1.41163937879341,-3.5343189239501953,f5f8866773cc80861a7f5c30502d0fbb.jpg
137.4935178756714,50.45424892976227,0,255,139.0861701965332,56.30704833477453,1,255,5.852799405012256,1.5926523208618164,5d8c27abe7add51ed3ede20c7d091f16.jpg
99.18657493591309,44.27121713949045,5,255,115.8202896118164,52.02484825891632,1,255,7.753631119425869,16.63371467590332,ef9ba80e23c77ad5c619e74bfbdffd8b.jpg
158.57862377166748,55.22471072690121,0,245,152.77965259552002,57.38540576255113,2,251,2.1606950356499226,-5.798971176147461,64b17a1d9119aa0a4df55d164eae856b.jpg
172.79684257507324,45.76792233756961,0,237,160.74218082427979,54.219270690621585,1,249,8.451348353051976,-12.054661750793457,d5a6b16e6de1f5f21a7a549a84af463f.jpg
156.83613395690918,72.54274795399722,0,253,149.5768051147461,71.98165169960619,0,254,-0.5610962543910318,-7.259328842163086,4068af795c7cb80fec0883dab82f4fbf.jpg
143.08270645141602,91.10121397642543,0,253,133.5929470062256,88.1135638517576,0,254,-2.987650124667823,-9.48975944519043,c440f25216153cfc2bcf4af70c3d59c4.jpg
146.3550329208374,43.56861908568917,0,255,143.63577270507812,50.059392771323544,1,255,6.490773685634373,-2.7192602157592773,51a8d7259a0a6deac20b7c4979a7e847.jpg
157.03477382659912,52.3326580904849,0,255,149.53933811187744,57.4163306088295,1,255,5.083672518344599,-7.49543571472168,623a14228a9ea0c33a9012c02ef70487.jpg
116.8636417388916,72.3376450220484,0,235,121.36800003051758,73.57045494517203,1,254,1.2328099231236251,4.504358291625977,d70837c881f01f8c51afe9616879de50.jpg
150.5392427444458,77.34047146223809,0,255,142.6475591659546,76.14468967642871,2,255,-1.1957817858093733,-7.891683578491211,e9dffce64ee5dd73e861bd8c407c65cb.jpg
107.11761379241943,73.4586946723364,0,255,112.45302391052246,78.4657420348783,2,255,5.007047362541897,5.335410118103027,9def44a5c7f43c29e24752e03add7809.jpg
146.37831115722656,81.64045612520651,0,255,138.9155912399292,81.11318207737826,0,255,-0.5272740478282572,-7.462719917297363,05721adb43ab7c061733568b274c006b.jpg
156.67119979858398,48.18874648343049,0,235,150.056640625,52.8488520725854,1,247,4.6601055891549095,-6.614559173583984,008b3176a7248a0a189b5731ac8d2e95.jpg
106.18027782440186,68.13398921476767,0,255,114.62750434875488,74.64276432326945,2,255,6.50877510850178,8.447226524353027,01a3c3d994d85ce5634d2d13c03fd4b0.jpg
164.91231155395508,54.17665196742394,0,255,151.8596706390381,58.607100245842645,0,255,4.430448278418702,-13.052640914916992,1606093b9d036cda7e30316ada6ea2cf.jpg
147.28563404083252,75.66964136157182,0,255,139.68372917175293,76.36914619351245,0,255,0.6995048319406294,-7.60190486907959,e2321f70d075c658946e167356ef516c.jpg
141.23407077789307,60.738489045003384,0,248,136.4151611328125,60.66286070260228,0,253,-0.07562834240110305,-4.818909645080566,67e142bee76b89f0ca09bab8d7adaa2e.jpg
128.47970294952393,65.54126061651901,0,255,126.79285049438477,65.0310253826229,0,255,-0.5102352338961111,-1.6868524551391602,dadf619a987c90a4f2c250ae26ed2041.jpg
